x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ramesh Rishidev,"83,073",49.5%,Janata Dal (United)
2,2,Manju Devi,"32,873",19.6%,Hindustani Awam Morcha (Secular)
3,3,Amit Kumar Bharti,"15,106",9.0%,Jan Adhikar Party (Loktantrik)
4,4,Rajkishor Sardar,"6,924",4.1%,Communist Party Of India (MARXIST)
5,5,Indo Devi,"4,098",2.4%,Bahujan Samaj Party
6,6,Jagdev Ram,"3,498",2.1%,Independent
7,7,Lalan Paswan,"3,220",1.9%,Janta Dal Rashtravadi
8,8,Achhe Lal Sharma,"3,048",1.8%,Independent
9,9,Sanjay Paswan,"2,767",1.7%,Bharatiya Jan Kranti Dal (Democratic)
10,10,Agamlal Rishidev,"2,583",1.5%,Independent
11,11,Dinesh Rishi Dev,"2,080",1.2%,The National Road Map Party Of India
12,12,Upendra Ram,"1,784",1.1%,Garib Janta Dal (Secular)
