x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Shailesh Kumar,"67,273",45.7%,Janata Dal (United)
2,2,Himanshu Kunvar,"51,797",35.2%,Lok Jan Shakti Party
3,3,Sanjay Kumar Singh,"8,228",5.6%,Shiv Sena
4,4,Rajiv Nayak,"2,604",1.8%,Independent
5,5,Sanjay Singh Yadav,"2,471",1.7%,Independent
6,6,Kapildeo Das,"2,290",1.6%,Bahujan Samaj Party
7,7,Chandra Narayan Singh,"2,026",1.4%,Independent
8,8,Pappu Yadav,"1,665",1.1%,Samajwadi Party
9,9,Nitya Nand Choudhary,"1,482",1.0%,Vyabasayi Kisan Alpasankhyak Morcha
10,10,Arjun Kushwaha,"1,454",1.0%,Independent
11,11,Hari Prasad Mahto Nishad,"1,222",0.8%,Sarvajan Kalyan Loktantrik Party
12,12,Pramod Kumar,899,0.6%,Socialist Unity Centre Of India (COMMUNIST)
