x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Maheshwar Hazari,"84,904",50.4%,Janata Dal (United)
2,2,Prince Raj,"47,218",28.0%,Lok Jan Shakti Party
3,3,Binod Das,"9,098",5.4%,Independent
4,4,Shankar Paswan,"5,627",3.3%,Independent
5,5,Prem Kumar Paswan,"4,057",2.4%,Independent
6,6,Abhay Kumar,"2,502",1.5%,Bahujan Samaj Party
7,7,Jibachh Paswan,"1,766",1.1%,Communist Party Of India (Marxist-Leninist) (Liberation)
8,8,Ram Balak Paswan,"1,646",1.0%,Shiv Sena
9,9,Renu Raj,"1,586",0.9%,Nationalist Congress Party
10,10,Santosh Kumar Paswan,"1,554",0.9%,National Janta Party (Indian)
11,11,Vishuni Paswan,"1,014",0.6%,Jharkhand Mukti Morcha
12,12,Ram Prasad Paswan,993,0.6%,Hind Congress Party
13,13,Rajkishor Paswan,830,0.5%,Bahujan Mukti Party
14,14,Nathuni Paswan,676,0.4%,Aap Aur Hum Party
