x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Lakshmeshwar Roy,"79,971",43.6%,Janata Dal (United)
2,2,Pramod Kumar Priyedarshi,"56,138",30.6%,Bharatiya Janta Party
3,3,Manoj Kumar 'bihari',"14,455",7.9%,Shiv Sena
4,4,Rampari Devi,"5,393",2.9%,Communist Party Of India (MARXIST)
5,5,Dinesh Prasad Sah,"4,110",2.2%,Independent
6,6,Surendra Prasad Yadav,"3,856",2.1%,Samajwadi Party
7,7,Bhupinder Prasad Yadav,"3,295",1.8%,Independent
8,8,Surendra Prasad Suman,"2,409",1.3%,Independent
9,9,Poonam Goit,"2,187",1.2%,Jan Adhikar Party (Loktantrik)
10,10,Shakuntala,"1,881",1.0%,Bahujan Samaj Party
11,11,Prabhakar Prasad,"1,460",0.8%,Independent
12,12,Shiv Kumar Prasad,"1,327",0.7%,Bhartiya Deshbhakt Party
13,13,Aman Kumar Samajsebi,"1,217",0.7%,Independent
14,14,Abadul Gaffar,838,0.5%,Independent
