x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ramanad Prasad Singh,"76,248",45.1%,Janata Dal (United)
2,2,Ramanuj Choudhary,"47,324",28.0%,Bharatiya Janta Party
3,3,Suheli Mehta,"23,137",13.7%,Jan Adhikar Party (Loktantrik)
4,4,Hareram Choudhari,"3,439",2.0%,Communist Party Of India (MARXIST)
5,5,Satish Prasad Singh,"2,572",1.5%,Independent
6,6,Ranjeet Kumar Roushan,"2,002",1.2%,Rashtriya Ahinsa Manch
7,7,Rakesh Kumar,"1,592",0.9%,Aap Aur Hum Party
8,8,Shobha Devi,"1,444",0.9%,Sarvajan Kalyan Loktantrik Party
9,9,Santosh Kumar,"1,338",0.8%,Independent
10,10,Naveen Kumar,980,0.6%,Independent
11,11,Mukesh Kumar,703,0.4%,Rastriya Sadabahar Party
12,12,Shiv Kumar Mishra,692,0.4%,Independent
13,13,Shailendra Kumar,669,0.4%,Naya Daur Party
14,14,Mohammd Irfan,653,0.4%,Gareeb Aadmi Party
15,15,Sambhu Sharan Mishra,481,0.3%,Independent
