x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Md Nematullah,"61,690",40.5%,Rashtriya Janata Dal
2,2,Rampravesh Rai,"61,186",40.1%,Bharatiya Janta Party
3,3,Anirudh Prasad Urf Sadhu Yadav,"3,914",2.6%,Garib Janta Dal (Secular)
4,4,Mukesh Kumar Rai,"3,819",2.5%,Independent
5,5,Neyaz Ahmad,"2,887",1.9%,Bahujan Samaj Party
6,6,Rajesh Kumar Singh,"2,770",1.8%,Samajwadi Party
7,7,Dharmendra Kumar Gupta,"2,531",1.7%,Independent
8,8,Yogendra Bhagat,"2,464",1.6%,Independent
9,9,Manager Singh,"2,311",1.5%,Communist Party Of India
10,10,Dinesh Kumar,"1,853",1.2%,Sarvajan Kalyan Loktantrik Party
11,11,Chhote Lal Choudhary,"1,282",0.8%,Independent
12,12,Dudh Nath Singh,"1,081",0.7%,Independent
13,13,Manjur Kha,"1,031",0.7%,Independent
14,14,Babujan Sai,976,0.6%,Independent
15,15,Manju Kumari,606,0.4%,Bharatiya Bahujan Congress
16,16,Satyajeet Kumar Pandey,606,0.4%,Rajnaitik Vikalp Party
17,17,Nafis Haidar,515,0.3%,Janta Dal Rashtravadi
