x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Narendra Narayan Yadav,"87,962",45.7%,Janata Dal (United)
2,2,Chandan Singh,"44,086",22.9%,Lok Jan Shakti Party
3,3,Shashi Bhushan Singh,"18,919",9.8%,Independent
4,4,Nirmal Paswan,"7,375",3.8%,Jharkhand Mukti Morcha
5,5,Jai Prakash Singh,"5,333",2.8%,Jan Adhikar Party (Loktantrik)
6,6,Shyamdeo Paswan,"4,905",2.6%,Independent
7,7,Ramdev Singh,"3,812",2.0%,Communist Party Of India
8,8,Prashant Kumar Sinha,"3,170",1.7%,Independent
9,9,Banarsi Mandal,"2,183",1.1%,Independent
10,10,Gopal Kumar Radhe Radhe,"2,000",1.0%,Independent
11,11,Rajendra Prasad Mahto,"1,829",1.0%,Independent
12,12,Ravindra Singh,"1,764",0.9%,Bahujan Samaj Party
13,13,Mukhtar,"1,581",0.8%,Garib Janta Dal (Secular)
14,14,Sandeep Kumar,924,0.5%,Janta Dal Rashtravadi
15,15,Rachana Kumari,818,0.4%,Bahujan Mukti Party
