x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Prakash Rai,"61,304",39.0%,Bharatiya Janta Party
2,2,N. N. Sahi,"60,840",38.7%,Janata Dal (United)
3,3,Om Prakash Kranti,"10,136",6.5%,Communist Party Of India
4,4,Manish Kumar Prasad,"6,446",4.1%,Independent
5,5,Basant Singh,"5,254",3.4%,Independent
6,6,Mohammad Jahangir,"2,546",1.6%,Bahujan Samaj Party
7,7,Mukti Nath Upadhyaya,"2,523",1.6%,Samajwadi Party
8,8,Shambhu Sharan Singh,"1,335",0.9%,Independent
9,9,Munna Singh,"1,307",0.8%,Independent
10,10,Latif Miyan,830,0.5%,Gareeb Aadmi Party
