x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ravindra Singh,"55,295",42.6%,Rashtriya Janata Dal
2,2,Chitranjan Kumar,"37,485",28.9%,Bharatiya Janta Party
3,3,Mahanand Prasad,"21,354",16.5%,Communist Party Of India (Marxist-Leninist) (Liberation)
4,4,Raunak,"3,650",2.8%,Jan Adhikar Party (Loktantrik)
5,5,Arjun Thakur,"2,584",2.0%,Bahujan Samaj Party
6,6,Amrendra Kumar,"1,702",1.3%,Samajwadi Party
7,7,Virendra Kumar,"1,343",1.0%,Independent
8,8,Sikandar Kumar,"1,312",1.0%,Independent
9,9,Manoj Kumar 'santosh',882,0.7%,Independent
10,10,Lalit Mohan Singh,774,0.6%,Aarakshan Virodhi Party
11,11,Prabhat Kumar,770,0.6%,Rashtriya Sarvodya Party
