x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Vinay Bihari,"57,351",40.5%,Bharatiya Janta Party
2,2,Ran Kaushal Pratap Singh,"39,778",28.1%,Rashtriya Janata Dal
3,3,Shambhu Tiwari,"20,793",14.7%,Independent
4,4,Sunil Kumar,"8,994",6.4%,Bahujan Samaj Party
5,5,Pradeep Singh,"3,195",2.3%,Nationalist Congress Party
6,6,Santosh Kumar Rai,"2,280",1.6%,Independent
7,7,Navin Kumar,"1,908",1.4%,Independent
8,8,Ram Babu Kumar Sankritya,"1,729",1.2%,Communist Party Of India
9,9,Umesh Yadav,"1,140",0.8%,Rashtriya Jankranti Party
10,10,Ajay Kumar Thakur,"1,126",0.8%,Shiv Sena
11,11,Raju Ram,953,0.7%,Sarvajan Kalyan Loktantrik Party
