x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ramesh Singh Kushwaha,"40,760",30.0%,Janata Dal (United)
2,2,Asha Devi,"34,669",25.5%,Bharatiya Janta Party
3,3,Amarjeet Kushwaha,"34,562",25.4%,Communist Party Of India (Marxist-Leninist) (Liberation)
4,4,Shri Niwas Yadav,"4,478",3.3%,Independent
5,5,Brij Bihari Sharma,"3,220",2.4%,Independent
6,6,Rana Pratap Singh,"3,162",2.3%,Samajwadi Party
7,7,Sudhir Kumar Sinha,"3,104",2.3%,Independent
8,8,Vijay Pratap Shahi,"2,614",1.9%,Independent
9,9,Ravi Pandey,"2,305",1.7%,National People's Party
10,10,Udeshavar Kumar Singh,"1,731",1.3%,Shiv Sena
11,11,Rakesh Kumar Pandey,786,0.6%,Independent
12,12,Mahatma Singh,728,0.5%,Independent
13,13,Dharmchand Yadav,565,0.4%,Independent
14,14,Daroga Singh,448,0.3%,Jharkhand Mukti Morcha
15,15,Ramjee Bhai,374,0.3%,Rashtriya Samanta Dal
16,16,Parmanand Gond,300,0.2%,Swatantra Samaj Party
