x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Abdul Jalil Mastan,"100,135",59.2%,Indian National Congress
2,2,Saba Zafar,"48,138",28.4%,Bharatiya Janta Party
3,3,Anima Das,"4,393",2.6%,Shiv Sena
4,4,Md Nasim Akhter,"2,458",1.5%,Bahujan Samaj Party
5,5,Md Nawazish Alam,"1,955",1.2%,All India Majlis-E-Ittehadul Muslimoon
6,6,Babar Azam,"1,763",1.0%,Jan Adhikar Party (Loktantrik)
7,7,Nil Mani Singh,"1,431",0.9%,Independent
8,8,Md Mazharul Bari,"1,333",0.8%,Independent
9,9,Md Shahabuzzama,"1,152",0.7%,Nationalist Congress Party
10,10,Akhalak Alam,"1,119",0.7%,Gareeb Aadmi Party
11,11,Abdul Razzaque Urf Kala Baba,855,0.5%,Independent
12,12,Md Mojib,772,0.5%,Bharat Nirman Party
13,13,Mohsin,640,0.4%,Garib Janta Dal (Secular)
