x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Abhay Kumar Sinha,"86,975",51.5%,Janata Dal (United)
2,2,Anil Kumar,"55,162",32.7%,Hindustani Awam Morcha (Secular)
3,3,Arun Kumar Singh,"5,927",3.5%,Shiv Sena
4,4,Archana Devi,"2,702",1.6%,Independent
5,5,Amit Kumar,"2,682",1.6%,Bahujan Samaj Party
6,6,Bhola Paswan,"1,826",1.1%,Independent
7,7,Rita Devi,"1,348",0.8%,Communist Party Of India (Marxist-Leninist) (Liberation)
8,8,Anil Kumar,"1,329",0.8%,Independent
9,9,Lipi Kumari,998,0.6%,Aarakshan Virodhi Party
10,10,Punam Devi,989,0.6%,Shoshit Samaj Dal
11,11,Ram Chandra Azad,796,0.5%,Akhil Hind Forward Block
12,12,Ramjit Singh,478,0.3%,Swabhiman Party
