x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Mithilesh Tiwari,"56,162",35.1%,Bharatiya Janta Party
2,2,Manjeet Kumar Singh,"42,047",26.3%,Janata Dal (United)
3,3,Manorma Devi,"36,734",23.0%,Independent
4,4,Anup Kumar Tewari,"3,735",2.3%,Bahujan Samaj Party
5,5,Gorakh Yadav,"3,405",2.1%,Independent
6,6,Mohan Singh,"3,055",1.9%,Independent
7,7,Dinesh Singh,"2,236",1.4%,Jan Adhikar Party (Loktantrik)
8,8,Z Rahman,"2,103",1.3%,Bhartiya New Sanskar Krantikari Party
9,9,Krishna Vihari Prasad Yadav,"1,866",1.2%,Communist Party Of India
10,10,Shaukat Ali,"1,586",1.0%,Samajwadi Party
11,11,Ranjeet Singh,937,0.6%,Jammu & Kashmir National Panthers Party
12,12,Mohan Mahto,647,0.4%,Garib Janta Dal (Secular)
13,13,Dipak Kumar Tiwari,630,0.4%,Rajnaitik Vikalp Party
