x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Tarkishore Prasad,"66,048",43.0%,Bharatiya Janta Party
2,2,Bijay Singh,"51,154",33.3%,Janata Dal (United)
3,3,Dr. Ram Prakash Mahto,"18,856",12.3%,Nationalist Congress Party
4,4,Jaynandan Paswan,"1,801",1.2%,Independent
5,5,Samrendra Kunal,"1,777",1.2%,Independent
6,6,Ashok Kumar Bhagat,"1,274",0.8%,Independent
7,7,Asghar Ali,"1,247",0.8%,Communist Party Of India (Marxist-Leninist) (Liberation)
8,8,Ram Lakhan Sah,"1,069",0.7%,Independent
9,9,Nasim,"1,062",0.7%,Social Democratic Party Of India
10,10,Janardan Singh,998,0.7%,Independent
11,11,Binod Singh,951,0.6%,Independent
12,12,Arvind Khwab,842,0.6%,Bahujan Samaj Party
13,13,Amarendra Kumar Singh,824,0.5%,Independent
14,14,Zahoor Alam,799,0.5%,Independent
15,15,Pankaj Jha,757,0.5%,Independent
16,16,Kanhai Mandal,748,0.5%,Independent
17,17,Ashish Kumar'' Balidani'',597,0.4%,Janta Dal Rashtravadi
18,18,Shailesh Kumar Singh,404,0.3%,Indian Union Muslim League
19,19,Samir Kumar Jha,402,0.3%,Independent
20,20,Manoj Kumar Sah,326,0.2%,Bahujan Mukti Party
21,21,Md Rustam,315,0.2%,Aap Aur Hum Party
22,22,Shivesh Kumar,277,0.2%,Rashtra Sewa Dal
