x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Gaytri Devi,"66,388",40.7%,Bharatiya Janta Party
2,2,Ram Chandra Purve,"62,371",38.3%,Rashtriya Janata Dal
3,3,Sarita Yadav,"8,005",4.9%,Jan Adhikar Party (Loktantrik)
4,4,Nilam Yadav,"6,794",4.2%,Bahujan Samaj Party
5,5,Mohd. Shams Shahnawaz,"2,822",1.7%,Samajwadi Party
6,6,Devendra Thakur,"2,631",1.6%,Independent
7,7,Md. Nazamuddin Ansari,"2,405",1.5%,Communist Party Of India
8,8,Jai Narayan Mahto,"1,773",1.1%,Independent
9,9,Gopal Kumar,"1,393",0.9%,Rashtravadi Janata Party
10,10,Surendra Prasad Gupta,"1,294",0.8%,Independent
11,11,Md. Majibul Rahman,"1,099",0.7%,Janta Dal Rashtravadi
12,12,Sogarth Paswan,"1,081",0.7%,Proutist Bloc India
13,13,Md. Mustafa,733,0.5%,Socialist Party (India)
14,14,Md. Asphak,635,0.4%,Loktantrik Sarvjan Samaj Party
