Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Arun Kumar,322647,12004,39.8%,Rashtriya Lok Samta Party
2,Surendra Prasad Yadav,280307,12004,34.5%,Rashtriya Janata Dal
3,Anil Kumar Sharma,100851,316,12.4%,Janata Dal (United)
4,Ramadhar Singh,34365,152,4.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
5,Nityanand Singh,10625,115,1.3%,Independent
6,Ravindra Singh,10580,112,1.3%,Bahujan Samaj Party
7,Manjay Kumar,8874,112,1.1%,Independent
8,Arjun Thakur,7757,112,1.0%,Independent
9,Md. Istiyak,6041,102,0.7%,All India Trinamool Congress
10,Suday Yadav,4202,102,0.5%,Independent
11,Chandra Bhushan Sharma,3711,102,0.5%,Aam Aadmi Party
12,Rahul Ranjan,3521,102,0.4%,Jharkhand Mukti Morcha
13,Manju Devi,2826,102,0.3%,Krantikari Vikas Dal
14,Parshuram Vind,2721,102,0.3%,Bahujan Mukti Party
15,Narendra Kumar,2136,102,0.3%,Shiv Sena
