Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Hari Om Pandey,432104,1683,41.8%,Bharatiya Janta Party
2,Rakesh Pandey,292675,1683,28.3%,Bahujan Samaj Party
3,Ram Murti Verma,234467,782,22.7%,Samajwadi Party
4,Ashok Singh,22775,115,2.2%,Indian National Congress
5,Suresh Kumar Bauddh,7694,96,0.7%,Moulik Adhikar Party
6,Tiger Ramnihor Patel,7040,96,0.7%,Independent
7,J.S. Kashyap(JAHAR SINGH KASHYAP),6896,96,0.7%,Bahujan Mukti Party
8,Gopal Nishad,5792,96,0.6%,Suheldev Bhartiya Samaj Party
9,Vinod Kumar Tiwari,4707,96,0.5%,Independent
10,Sreeram,4138,96,0.4%,Most Backward Classes Of India
11,Brijesh Kumar,3025,96,0.3%,Aam Aadmi Party
12,Surendra Kumar,2590,96,0.3%,Adarsh Rashtriya Vikas Party
13,Balmukund Dhuriya,1942,96,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
14,Ram Bahal Verma,1137,96,0.1%,Samyak Parivartan Party
