Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bahadur Singh,579825,489,60.2%,Bharatiya Janta Party
2,Dr.Suresh Jatav,334357,489,34.7%,Indian National Congress
3,Mahendar Kumar Jatav,22090,66,2.3%,Bahujan Samaj Party
4,Gopal Paharia,7013,60,0.7%,Aam Aadmi Party
5,Amar Chand Pohiya,3969,60,0.4%,Rajasthan Vikash Party
6,Sheetal Jatav,2071,60,0.2%,Independent
7,Vimla Umar,1792,60,0.2%,All India Trinamool Congress
8,Mamraj,1787,60,0.2%,Independent
9,Madhuri Pushkar,1187,60,0.1%,Independent
10,Lakhan Singh,960,60,0.1%,Indian Peoples Green Party
11,Prem Chand Dhamani,835,60,0.1%,Independent
12,Ghisu Lal,611,60,0.1%,Independent
