Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vinod Khanna,482255,1897,46.3%,Bharatiya Janta Party
2,Partap Singh Bajwa,346190,1897,33.2%,Indian National Congress
3,Sucha Singh Chhotepur,173376,308,16.6%,Aam Aadmi Party
4,Varinder Singh,11839,84,1.1%,Communist Party Of India
5,Sukhwinder Singh,5621,84,0.5%,Bahujan Samaj Party
6,Rohit Maingi,4057,84,0.4%,Independent
7,Santosh Kumari,3645,84,0.3%,Megh Desham Party
8,Gurmeet Singh Bakhatpura,2875,84,0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Sikander Singh,2124,84,0.2%,Independent
10,Gurpreet Singh Khanna,1785,84,0.2%,Bharatiya Gaon Taj Dal
11,Mukesh,1649,84,0.2%,Independent
12,Peter Masih,1463,84,0.1%,Sarvajan Samaj Party (D)
13,Amit Aggarwal,1195,84,0.1%,Independent
