Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Abhishek Singh,643473,800,54.6%,Bharatiya Janta Party
2,Kamleshwar Verma,407562,800,34.6%,Indian National Congress
3,Anand Sahu,20458,200,1.7%,Bahujan Samaj Party
4,Narendra Bansod Advocate,11704,200,1.0%,Ambedkarite Party Of India
5,Sahukar Bhaskar,11478,200,1.0%,Independent
6,Wamanrao Bagde,10891,200,0.9%,Independent
7,Bhaskar Dwivedi,10733,200,0.9%,Aam Aadmi Party
8,Santosh Chandrakar,6007,200,0.5%,Gondvana Gantantra Party
9,Ramesh Yadav,5941,200,0.5%,Independent
10,Khemraj Lodhi,5546,200,0.5%,Independent
11,Murad Bhai,5255,200,0.4%,Independent
12,Bhagat Soni,3636,200,0.3%,Chhattisgarh Swabhiman Manch
13,Lodhi Seema Kaushik,3228,200,0.3%,Samajwadi Party
