Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Thota Narasimham,514402,875400,46.8%,Telugu Desam
2,Chalamalasetty Sunil,510971,875400,46.5%,Yuvajana Sramika Rythu Congress Party
3,Mallipudi Mangapati Pallam Raju,19754,200,1.8%,Indian National Congress
4,Motha Sarada,6836,200,0.6%,Republican Party Of India (KHOBRAGADE)
5,Jalluri Venkateswarlu (J.V),6636,200,0.6%,Independent
6,Tummalapalli Satya Ramakrishna,6442,200,0.6%,Jai Samaikyandhra Party
7,Tekumudi Venkata Rao,3826,200,0.3%,Pyramid Party Of India
8,Donka Leelavathi,3756,200,0.3%,Independent
9,Kola Venkata Prasad Varma,3473,200,0.3%,Rashtriya Janata Dal
10,Muthabathula Ratna Kumar,2511,200,0.2%,Bahujan Samaj Party
11,Srinivas Dangeti,2356,200,0.2%,Aam Aadmi Party
12,Karra Venkata Appala Narasimha Rao,1907,200,0.2%,Independent
13,Rokkam Dayakar,1837,200,0.2%,Republican Paksha (Khoripa)
14,Donam Neelakantam,1697,200,0.2%,Independent
15,Arjunarao Yegupati,1495,200,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
16,Guttula Annapurna Seshagiri Rao (BATHPARTY-SESHU),1417,200,0.1%,Independent
17,Vinjamalla Chitti Babu,1400,200,0.1%,Independent
18,Chaganti Suryanarayana Murty,1236,200,0.1%,Independent
19,Pepakayala Subha Rajendra,1161,200,0.1%,Independent
20,Kunche Ramadas,1122,200,0.1%,Independent
21,Merla Bhavani Sankara Prasad,910,200,0.1%,Independent
22,Prabhakara Rao Madiki,496,200,0.0%,Independent
