Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Patel Natubhai Gomanbhai,80790,21441,48.9%,Bharatiya Janta Party
2,Delkar Mohanbhai Sanjibhai,74576,21441,45.1%,Indian National Congress
3,Khulat Janiyabhai Chandubhai,1611,77,1.0%,Nationalist Congress Party
4,Prakash Vansha Khanvelkar,1214,77,0.7%,Independent
5,Bhurkud Dilipbhai Navjibhai,1154,77,0.7%,Independent
6,Patel Hemantbhai Keshavbhai,982,77,0.6%,Bahujan Samaj Party
7,Patel Chhotubhai Babubhai,621,77,0.4%,Aam Aadmi Party
8,Kamuben Khalpabhai Patel,418,77,0.3%,Independent
9,Kishan Nathu Ghutiya,378,77,0.2%,Shiv Sena
10,Umedbhai Lallubhai Patel,348,77,0.2%,Bahujan Mukti Party
11,Vijaybhai Nathubhai Bhoya,232,77,0.1%,Janata Dal (United)
