Position,Candidate Name,Votes,MinSample,Votes %,Party
1,E. T. Mohammed Basheer,378503,39800,43.4%,Indian Union Muslim League
2,V.Abdurahman,353093,39800,40.5%,Independent
3,K.Narayanan Master,75212,200,8.6%,Bharatiya Janta Party
4,V.T.Ikramul Haque,26640,200,3.1%,Social Democratic Party Of India
5,Abullais.T.P,11034,200,1.3%,Independent
6,Shylock P.V.,9504,200,1.1%,Aam Aadmi Party
7,Abdurahiman Varikkottil,2434,200,0.3%,Independent
8,Bindu M.K.,2261,200,0.3%,Independent
9,T.Ayyappan,2153,200,0.2%,Bahujan Samaj Party
10,Abdurahman Vadakkathinakath,2044,200,0.2%,Independent
11,Abdurahiman Vayarakath,1220,200,0.1%,Independent
