Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Hukm Deo Narayan Yadav,358040,56600,41.6%,Bharatiya Janta Party
2,Abdul Bari Siddiqui,337505,56600,39.2%,Rashtriya Janata Dal
3,Prof. Ghulam Ghous,56392,200,6.6%,Janata Dal (United)
4,Kumari Rita,30942,200,3.6%,Shiv Sena
5,Hari Narayan Yadav,10115,200,1.2%,Bahujan Samaj Party
6,Neeraj Pathak,9718,200,1.1%,Aam Aadmi Party
7,Anirud Sahu,9474,200,1.1%,Samajwadi Janata Party (RASHTRIYA)
8,Faiz Ahmad,8464,200,1.0%,Jai Prakash Janata Dal
9,Vijay Kumar,7453,200,0.9%,Independent
10,Dhrub Narayan Karn,6750,200,0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Ratneshwar Jha,6663,200,0.8%,Akhil Bhartiya Mithila Party
