Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sanjaykaka Patil,611563,800,58.4%,Bharatiya Janta Party
2,Patil Pratik Prakashbapu,372271,800,35.6%,Indian National Congress
3,Bandgar Nanaso Balaso,11378,200,1.1%,Bahujan Samaj Party
4,Nitin Ganpatrao Savgave,8405,200,0.8%,Bahujan Mukti Party
5,Suresh Parth Mane (NANA),8353,200,0.8%,Independent
6,Samina Abdulmajid Khan,4699,200,0.4%,Aam Aadmi Party
7,Siddha Shivappa Bhosale,4309,200,0.4%,Independent
7,Chopade Shriprasad Janardan,4309,200,0.4%,Independent
9,Sharmila Baba Wakshe,2481,200,0.2%,Independent
10,Adv. K. D. Shinde,2460,200,0.2%,Janata Dal (Secular)
11,Madhukar Baburao Kambale,1844,200,0.2%,Independent
12,Tanajirao Jagannath Jadhav(CHINCHANIKAR),1774,200,0.2%,Independent
13,Pournima Vilas Korpale,1702,200,0.2%,Independent
14,Shrirang Baburao Pakhare,1661,200,0.2%,Independent
15,Ashok Dnanu Mane(BHAU),1494,200,0.1%,Independent
16,Dhatture Hafizbhai Husain,997,200,0.1%,Independent
17,Surekha Alias Suraiyya Shahin Shaikh,849,200,0.1%,Maharashtra Vikas Aghadi
