Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Manoj Rajoria,402407,33715,47.6%,Bharatiya Janta Party
2,Lakkhiram,375191,33715,44.4%,Indian National Congress
3,G.R.Barua,25150,105,3.0%,Bahujan Samaj Party
4,Ram Singh,9458,82,1.1%,National People's Party
5,Kamal Singh,7286,82,0.9%,All India Trinamool Congress
6,Laxmikant,4767,82,0.6%,Independent
7,Ghanshyam,3726,82,0.4%,Aam Aadmi Party
8,Kishor Kumar,3376,82,0.4%,Independent
9,Kanchan Bai,3014,82,0.4%,Independent
10,Ramesh,1629,82,0.2%,Bharatiya Yuva Shakti
11,Ashok Kumar,1385,82,0.2%,Independent
12,Phoolsingh,951,82,0.1%,Jago Party
13,Shrelal Khare,922,82,0.1%,Jai Maha Bharath Party
14,Dhanraj Bairwa,745,82,0.1%,Socialist Party (India)
