Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Badruddin Ajmal,592569,1200,43.3%,All India United Democratic Front
2,Wazed Ali Choudhury,362839,1200,26.5%,Indian National Congress
3,Dr. Debamoy Sanyal,298985,800,21.8%,Bharatiya Janta Party
4,Mohar Uddin Mondal,40208,200,2.9%,Independent
5,Ali Hussain,23816,200,1.7%,Independent
6,Anowar Hussain,9897,200,0.7%,Asom Gana Parisad
7,Zesmina Khatun,7874,200,0.6%,All India Trinamool Congress
8,Surat Jaman Mondal,5935,200,0.4%,Socialist Unity Centre Of India (COMMUNIST)
9,Mohendra Chandra Roy,4607,200,0.3%,Independent
10,Azmal Hussain,4468,200,0.3%,Aam Aadmi Party
11,Yousub Ali Ahmed,3277,200,0.2%,Samajwadi Party
12,Kashem Ali Akonda,2785,200,0.2%,Independent
13,Monirul Hussain,2723,200,0.2%,Independent
14,Ram Ekbal Shahani,2375,200,0.2%,Independent
15,Kasir Uddin Sk.,1455,200,0.1%,Indian Union Muslim League
