Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rajendra Agarwal,532981,699,47.9%,Bharatiya Janta Party
2,Mohd.Shahid Akhlak,300655,699,27.0%,Bahujan Samaj Party
3,Shahid Manzoor,211759,337,19.0%,Samajwadi Party
4,Nagma,42911,111,3.9%,Indian National Congress
5,Dr. (EX. MAJ) HIMANSHU SINGH,11793,82,1.1%,Aam Aadmi Party
6,Sunil Dutt,1734,82,0.2%,Independent
7,Mukesh Kumar,1542,82,0.1%,Independent
8,Mohd.Usman Ghazi,1451,82,0.1%,Rashtriya Apna Dal
9,Mohd. Sajid Saifi,1063,82,0.1%,Bahujan Mukti Party
10,Atul Khodawal,818,82,0.1%,Independent
11,Iqra Choudhary,734,82,0.1%,Independent
12,Aphajal,382,82,0.0%,Independent
13,Anil,348,82,0.0%,Independent
