Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Narendra Modi,581022,400,56.4%,Bharatiya Janta Party
2,Arvind Kejriwal,209238,400,20.3%,Aam Aadmi Party
3,Ajay Rai,75614,200,7.3%,Indian National Congress
4,Vijay Prakash Jaisawal,60579,200,5.9%,Bahujan Samaj Party
5,Kailash Chaurasiya,45291,200,4.4%,Samajwadi Party
6,Rajesh Bharti Surya,4327,200,0.4%,Rashtriya Ambedkar Dal
7,Arun,3634,200,0.4%,Bhartiya Shakti Chetna Party
8,Sarvesh Kumar Gupta,3023,200,0.3%,Independent
9,Baseer Kinnar,2850,200,0.3%,Independent
10,Indira Tiwari,2674,200,0.3%,All India Trinamool Congress
11,Hiralal Yadav,2457,200,0.2%,Communist Party Of India (MARXIST)
12,Iftekhar Kuraishi,2323,200,0.2%,Independent
13,Narendra Nath Dubey Adig,2277,200,0.2%,Jan Shakti Ekta Party
14,A.K. Aggarwal,2037,200,0.2%,Agrajan Party
15,Shivhari Agarwal,2000,200,0.2%,Bharat Nirman Party
16,Pramod Kumar,1807,200,0.2%,Independent
17,Devi Prasad Nand,1740,200,0.2%,Moulik Adhikar Party
18,Abhimanyu Singh Patel,1644,200,0.2%,Bahujan Mukti Party
19,Johnson Thomas,1524,200,0.1%,Independent
20,Santosh Kumar,1434,200,0.1%,Rashtriya Vikas Manch Party
21,Ram Lakhan Gupta,1376,200,0.1%,Jantantra Party
22,Rajendra Prasad (GARIB DAS),1367,200,0.1%,Independent
23,Prakash Prasad,1361,200,0.1%,Independent
24,Narendra Bahadur Singh,1306,200,0.1%,Independent
25,Hemant Kumar Yadav,1202,200,0.1%,Indian National League
26,Bachchan Prasad Yadav,1192,200,0.1%,Independent
27,Bachchelal,1172,200,0.1%,Lokpriya Samaj Party
28,Ghanshyam,1151,200,0.1%,Independent
29,Om Guru Charan Das Alias Vimal Kumar Singh,1144,200,0.1%,Sanatan Sanskriti Raksha Dal
30,Prabhat Kumar,1089,200,0.1%,Independent
31,Manoj Kumar Chaubey,1074,200,0.1%,Independent
32,Ravindra Kumar,1012,200,0.1%,Independent
33,Lallan,997,200,0.1%,Manavadhikar Janshakti Party
34,Ahmed Sohel Siddiqui,937,200,0.1%,Independent
35,Usman,878,200,0.1%,Rashtriya Apna Dal
36,Hari Lal,838,200,0.1%,Rastriya Insaaf Party
37,Rajiv Kumar Mishra,677,200,0.1%,Independent
38,Satyaprakash Srivastava,599,200,0.1%,Independent
39,Mahendra Mishra,573,200,0.1%,Independent
40,Satish Shankar Jayaswal,459,200,0.0%,Independent
41,Rampyare Singh,423,200,0.0%,Independent
42,Shiv Kumar Shah,312,200,0.0%,Independent
