Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vijay Sampla,346643,149868,36.1%,Bharatiya Janta Party
2,Mohinder Singh Kaypee,333061,149868,34.6%,Indian National Congress
3,Yamini Gomar,213388,1458,22.2%,Aam Aadmi Party
4,Bhagwan Singh Chauhan,40497,180,4.2%,Bahujan Samaj Party
5,Pawan Kumar,3216,116,0.3%,Independent
6,Ravi Dutt,2564,116,0.3%,Independent
7,Shamsher Singh,2527,116,0.3%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
8,Anoop Singh,2158,116,0.2%,Bharti Jan Suraksha Party
9,Bishan Dass,1853,116,0.2%,Independent
10,Ram Kishan,1689,116,0.2%,Independent
11,Davinder Singh,1488,116,0.2%,Independent
12,Deepak Kumar,1446,116,0.2%,Bahujan Mukti Party
13,Jaswinder Singh,1230,116,0.1%,Shiv Sena
14,Lakhvir Singh,1062,116,0.1%,Democratic Bharatiya Samaj Party
15,Anu Kumar,911,116,0.1%,Independent
16,Vijay Kumar,889,116,0.1%,Sarvajan Samaj Party (D)
17,Om Parkash Jakhu,699,116,0.1%,Independent
