Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bhanu Pratap Singh Verma,548631,600,49.5%,Bharatiya Janta Party
2,Brijlal Khabri,261429,600,23.6%,Bahujan Samaj Party
3,Ghanshayam Anuragi,180921,400,16.3%,Samajwadi Party
4,Vijay Chaudhari,82903,200,7.5%,Indian National Congress
5,Ramnarayan,4944,200,0.4%,Bahujan Mukti Party
6,Ram Singh,4761,200,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Manoj Kumar,4561,200,0.4%,Bharatiya Republican Paksha
8,Dalchandra Anuragi,3337,200,0.3%,Aam Aadmi Party
9,Rajkumar,2816,200,0.3%,Peace Party
10,Gangasingh,2525,200,0.2%,Al-Hind Party
11,Jayram,2047,200,0.2%,Bhartiya Shakti Chetna Party
