Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rattan Lal Kataria,612121,376,50.2%,Bharatiya Janta Party
2,Raj Kumar Balmiki,272047,376,22.3%,Indian National Congress
3,Dr. Kusum Sherwal,129571,163,10.6%,Indian National Lok Dal
4,Dr. Kapoor Singh,102627,137,8.4%,Bahujan Samaj Party
5,Surinder Pal Singh,63626,109,5.2%,Aam Aadmi Party
6,Arun Kumar,11123,78,0.9%,Communist Party Of India
7,Bhupinder Kumar,3765,76,0.3%,Independent
8,Rajender Kumar Bhatauli,3432,76,0.3%,Bhartiya Shakti Chetna Party
9,Bhura Ram,3388,76,0.3%,Independent
10,Phool Chand Rattuwala,3095,76,0.3%,Independent
11,Ramesh Chand,2715,76,0.2%,Independent
12,Ishwar Singh,1446,76,0.1%,Independent
13,Ram Jawari,1290,76,0.1%,Rashtriya Karmyog Party
14,Gurnam Singh,933,76,0.1%,Independent
