Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Jayant Sinha,406931,1200,42.1%,Bharatiya Janta Party
2,Saurabh Narain Singh,247803,1200,25.6%,Indian National Congress
3,Loknath Mahto,156186,400,16.1%,Ajsu Party
4,Arun Kumar Mishra,30408,200,3.1%,Jharkhand Vikas Morcha (Prajatantrik)
5,Bhuvneshwar Prasad Mehta,30326,200,3.1%,Communist Party Of India
6,Badri Gope,14555,200,1.5%,Independent
7,Javed Islam,8453,200,0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Ajit Kumar Singh,8360,200,0.9%,All India Trinamool Congress
9,Tetri @ Sheela Devi,8159,200,0.8%,Bahujan Samaj Party
10,Prayag Prasad,8085,200,0.8%,Independent
11,Mithilesh Kumar Dangi,7140,200,0.7%,Aam Aadmi Party
12,Baldeo Ganjhu,5152,200,0.5%,Independent
13,Dr. Dhirendra Kumar Raj,4481,200,0.5%,Independent
14,Rameshwar Ram Kushwaha,4423,200,0.5%,All India Forward Bloc
15,Mahendra Kishor Mehta,3752,200,0.4%,Independent
16,Yashpal Yadav,3540,200,0.4%,Independent
17,Ramavtar Mahto,3365,200,0.3%,Independent
18,Mo. Shanul Haque,3189,200,0.3%,Indian Union Muslim League
19,Pramod Kumar Mahtha,3076,200,0.3%,Pragatisheel Magahi Samaj
20,Abdul Rahim,2941,200,0.3%,Bahujan Mukti Party
