Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Mriganka Mahato,468277,1800,38.9%,All India Trinamool Congress
2,Narahari Mahato,314400,1800,26.1%,All India Forward Bloc
3,Nepal Mahata,257923,1000,21.4%,Indian National Congress
4,Bikash Banerjee,86236,400,7.2%,Bharatiya Janta Party
5,Subarna Kumar,11266,200,0.9%,Socialist Unity Centre Of India (COMMUNIST)
6,Mihir Kumar Rajwar,9850,200,0.8%,Bahujan Samaj Party
7,Ajit Prasad Mahata,9012,200,0.7%,Jharkhand Vikas Morcha (Prajatantrik)
8,Tapan Kumar Mahato,7386,200,0.6%,Jharkhand Mukti Morcha
9,Baidyanath Hansda,7168,200,0.6%,Jharkhand Disom Party
10,Monbodh Mahato,6774,200,0.6%,Independent
11,Dhiren Rajak,5584,200,0.5%,Independent
12,Purna Chandra Tudu,4073,200,0.3%,Independent
