Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Om Birla,644822,1074,55.8%,Bharatiya Janta Party
2,Ijyaraj Singh,444040,1074,38.4%,Indian National Congress
3,Ashok Kumar Jain,16981,66,1.5%,Aam Aadmi Party
4,Ashok Kumar,10862,66,0.9%,Bahujan Samaj Party
5,Ajmat Ali,7559,66,0.7%,Bharatiya Yuva Shakti
6,Shyam Sunder Sharma,5091,66,0.4%,Independent
7,Mohan Lal Mahawar,4822,66,0.4%,Independent
8,Mahendra Kumar,2307,66,0.2%,Independent
9,Tejpal,1825,66,0.2%,Independent
10,Asfak Ali,1713,66,0.1%,Independent
11,Rajesh Kumar,1168,66,0.1%,Jai Maha Bharath Party
12,Mahesh Kumar Raniwal,1010,66,0.1%,Aarakshan Virodhi Party
