Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Harinder Singh Khalsa,367293,11600,35.6%,Aam Aadmi Party
2,Sadhu Singh,313149,11600,30.4%,Indian National Congress
3,Kulwant Singh,312815,11400,30.3%,Shiromani Akali Dal
4,Sarabjeet Singh,12683,200,1.2%,Bahujan Samaj Party
5,Dharam Singh,3173,200,0.3%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
6,Lachhman Singh S/o S.Saroop Singh,2852,200,0.3%,Independent
7,Harpreet Singh,2352,200,0.2%,Bahujan Mukti Party
8,Nirmal Singh,2149,200,0.2%,Nationalist Congress Party
9,Lachhman Singh S/o S.Gulzar Singh,2141,200,0.2%,Independent
10,Gurdeep Singh,1930,200,0.2%,Inqalab Vikas Dal
11,Lakhvir Singh,1733,200,0.2%,J & K National Panthers Party
12,Ranjit Singh,1679,200,0.2%,Independent
13,Paramjit Singh,1266,200,0.1%,Independent
14,Manpreet Singh,886,200,0.1%,Independent
15,Avtar Singh,848,200,0.1%,Independent
