Position,Candidate Name,Votes,MinSample,Votes %,Party
1,A.T. Nana Patil,647773,214,65.4%,Bharatiya Janta Party
2,Annasaheb Dr.Satish Bhaskarrao Patil,264248,214,26.7%,Nationalist Congress Party
3,Bagul V. T.(JIBHAU),10838,55,1.1%,Bahujan Samaj Party
4,Vijay Bhimrao Nikam,9614,55,1.0%,Independent
5,Lalit Gaurishankar Sharma,8140,55,0.8%,Independent
6,Dr. Sangram Gokulsingh Patil,7390,55,0.7%,Aam Aadmi Party
7,Satish Bhaskar Patil (NANDGAON BK),6157,55,0.6%,Independent
8,Ashok Tarachand Patil,5801,55,0.6%,Independent
9,Satish Bhaskar Patil (MUDI PRA DANGRI),3998,55,0.4%,Independent
10,Abrar Beg Sarvar Beg Mirza,3212,55,0.3%,Republican Party Of India
11,Patil Sandip Yuvraj,2879,55,0.3%,Independent
12,More Ishwar Dayaram (EX-SERVICEMAN),2718,55,0.3%,Bahujan Mukti Party
13,Ragib Ahmed Abdul Nabi Bahadur,2675,55,0.3%,Samajwadi Party
14,Iqbal Raheman Deshmukh,2246,55,0.2%,Independent
15,Nanaso M.P. Pagare,1917,55,0.2%,Rashtravadi Janata Party
16,Adv. Ashok Dagadu Shinde,1708,55,0.2%,Prabuddha Republican Party
17,Dr.Mubin A. Khalil A.,1676,55,0.2%,Independent
18,Asha Sahebrao Patil,1579,55,0.2%,Maharashtra Parivartan Sena (T)
19,Satish Bhaskar Patil (VARKHEDI),1537,55,0.2%,Independent
20,Mamashri Suresh Patil (PATRAKAR),958,55,0.1%,Hindustan Janata Party
