Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sankar Prasad Datta,671665,200,62.6%,Communist Party Of India (MARXIST)
2,Arunoday Saha,168179,200,15.7%,Indian National Congress
3,Ratan Chakraborti,117727,200,11.0%,All India Trinamool Congress
4,Sudhindra Chandra Dasgupta,54706,200,5.1%,Bharatiya Janta Party
5,Binay Debbarma,11040,200,1.0%,Indigenousn People's Front Of Tripura
6,Arun Kumar Bhowmik,8202,200,0.8%,Socialist Unity Centre Of India (COMMUNIST)
7,Joganati Datta,5947,200,0.6%,Independent
8,Salil Saha,4981,200,0.5%,Aam Aadmi Party
9,Subal Bhowmik,4690,200,0.4%,Tripura Pragatishil Gramin Congress
10,Partha Karmakar,4226,200,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Kamal Kanti Debnath,3747,200,0.3%,Independent
12,Rakhal Raj Datta,2879,200,0.3%,Amra Bangalee
13,Pjech Debbarma,2061,200,0.2%,Jai Maha Bharath Party
