Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Lokhande Sadashiv Kisan,532936,800,57.1%,Shiv Sena
2,Bhausaheb Rajaram Wakchaure,333014,800,35.7%,Indian National Congress
3,Nitin Navnath Udmale,11580,200,1.2%,Aam Aadmi Party
4,Adv. Mahendra Dadasaheb Shinde,10381,200,1.1%,Bahujan Samaj Party
5,Santosh Madhukar Roham,9296,200,1.0%,Bahujan Mukti Party
6,Shende Ravindra Vitthal,4728,200,0.5%,Independent
7,Balasaheb Dashrath Bagul,4319,200,0.5%,Independent
8,Raghunath Ramji Makasare,3193,200,0.3%,Bharipa Bahujan Mahasangh
9,Sayaji Shankar Kharat,2954,200,0.3%,Independent
10,Wagh Gangadhar Radhaji,2874,200,0.3%,Independent
11,Pawar Vijay Banderao,2334,200,0.3%,The Lok Party Of India
12,Gholap Sandeep Bhaskar,2229,200,0.2%,Independent
13,Uddhavrao Balwant Gaikwad,1499,200,0.2%,Independent
14,Sarode Popat Rambhau,1429,200,0.2%,Lok Bharati
