Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Gopal Chinayya Shetty,664004,200,70.1%,Bharatiya Janta Party
2,Sanjay Brijkishorlal Nirupam,217422,200,23.0%,Indian National Congress
3,Satish Parasmal Jain,32364,200,3.4%,Aam Aadmi Party
4,Yadav Kamlesh Shobhnath,5506,200,0.6%,Samajwadi Party
5,Singh Ashok Chandrapal,5438,200,0.6%,Bahujan Samaj Party
6,Kapil Kantilal Soni,2078,200,0.2%,Independent
7,Arjun Balu Arde,1650,200,0.2%,Ambedkarite Party Of India
8,Prashant Narsinh Kharatmal,1612,200,0.2%,Independent
9,Gondane Divakar Laxman,1539,200,0.2%,Bharipa Bahujan Mahasangh
10,Nitin Ravindra Rajvardhan,796,200,0.1%,Bahujan Mukti Party
11,Shaikh Fateh Mohammad,768,200,0.1%,Independent
12,Sakharam Pandurang Dunghav,699,200,0.1%,Maharashtra Parivartan Sena (T)
13,Thorat Sunil Uttamrao,653,200,0.1%,All India Forward Bloc
14,Haji Akhtar Paperwala,626,200,0.1%,Independent
15,Arjun Chaudhary,556,200,0.1%,Independent
16,Mohammad Akhtar Mehboob Shaikh,462,200,0.0%,Prabuddha Republican Party
17,Dinesh Shah,394,200,0.0%,Sardar Vallabhbhai Patel Party
18,Prabhakaran G. Titus,331,200,0.0%,People's Party Of India(secular)
19,Satyavijay Vithoba Chavan,327,200,0.0%,Independent
20,Milind Shankar Repe,301,200,0.0%,Independent
21,Subodh G. Ranjan,278,200,0.0%,Independent
