Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Adv. Chintaman Navasha Wanga,533201,600,53.7%,Bharatiya Janta Party
2,Baliram Sukur Jadhav,293681,600,29.6%,Bahujan Vikas Aaghadi
3,Kharapade Ladakya Rupa,76890,200,7.7%,Communist Party Of India (MARXIST)
4,Pandurang Jethya Pardhi,16182,200,1.6%,Aam Aadmi Party
5,Haribhau Soma Vartha,12974,200,1.3%,Independent
6,Dilip Atmaram Dumada,10742,200,1.1%,Bahujan Mukti Party
7,Gavari Shyam Anant,8176,200,0.8%,Bahujan Samaj Party
8,Sachin Damodar Shingda,7957,200,0.8%,Independent
9,Mohan Barku Guhe,6691,200,0.7%,Bharipa Bahujan Mahasangh
10,Kashinath Laxman Kokera,4327,200,0.4%,Independent
