Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Anshul Verma,360501,4400,37.1%,Bharatiya Janta Party
2,Shive Prasad Verma,279158,4400,28.7%,Bahujan Samaj Party
3,Usha Verma,276543,4200,28.4%,Samajwadi Party
4,Sarvesh Kumar,23298,200,2.4%,Indian National Congress
5,Shivekumar,4737,200,0.5%,Independent
6,Sarvesh,4130,200,0.4%,Independent
7,Sunil Bharti,4045,200,0.4%,Independent
8,Saroj Kumar,3287,200,0.3%,Independent
9,Chandrapal,2003,200,0.2%,Bharatiya Republican Paksha
10,Hira Lal Verma,1670,200,0.2%,Aam Aadmi Party
11,Ramdayal,1576,200,0.2%,Peace Party
12,Rampal,1326,200,0.1%,Independent
13,Santram,1296,200,0.1%,Bahujan Mukti Party
14,Ramlakhan Gautam,834,200,0.1%,Indian Savarn Samaj Party
15,Sanjay Kumar,830,200,0.1%,Bhartiya Krishak Dal
