Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Konakalla Narayana Rao,587280,6800,51.5%,Telugu Desam
2,Kolusu Partha Sarathy,506223,6800,44.4%,Yuvajana Sramika Rythu Congress Party
3,Sistla Ramesh,14111,200,1.2%,Indian National Congress
4,Kammili Srinivas,7692,200,0.7%,Jai Samaikyandhra Party
5,Vadapalli Raghunadh,4401,200,0.4%,Pyramid Party Of India
6,Prasada Rao Peggem,4085,200,0.4%,Bahujan Samaj Party
7,Parasa Srinivasa Rao,3399,200,0.3%,Independent
8,Mohammad Ishaq,1770,200,0.2%,Independent
9,Yunduri Subramanyaswara Rao (MANI),1597,200,0.1%,Independent
10,Yarlagadda Rama Mohan Rao,1405,200,0.1%,Independent
11,Jampana Srinivasa Goud,931,200,0.1%,Independent
