Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Prof. Sadhu Singh,450751,1114,43.7%,Aam Aadmi Party
2,Paramjit Kaur Gulshan,278235,1114,27.0%,Shiromani Akali Dal
3,Joginder Singh,251222,806,24.3%,Indian National Congress
4,Kashmir Singh,14573,103,1.4%,Communist Party Of India
5,Sant Ram,8282,94,0.8%,Bahujan Samaj Party
6,Satpal Singh,3680,94,0.4%,Indian Krantikari Lehar
7,Joginder Singh S/o Kesar Singh,2667,94,0.3%,Independent
8,Reena Kumari,2473,94,0.2%,Independent
9,Mangat Ram Manga,2213,94,0.2%,Shiv Sena
10,Seema Rani,1726,94,0.2%,Independent
11,Jasveer Singh,1693,94,0.2%,Independent
12,Paramjeet Kaur W/o Gurpreet Singh,1623,94,0.2%,Independent
13,Darshan Singh,1605,94,0.2%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
14,Gurcharan Singh,1531,94,0.1%,Republican Party Of India
15,Moti Lal,1512,94,0.1%,Bharatiya Sant Mat Party
16,Jarnail Singh,1358,94,0.1%,Nav Bharat Democratic Party
17,Paramjit Kaur W/o Amrik Singh,1159,94,0.1%,Bahujan Mukti Party
18,Badal Singh,1123,94,0.1%,Independent
19,Gobind Singh,865,94,0.1%,Republican Party Of India (A)
