Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bidyut Baran Mahato,464153,3577,44.2%,Bharatiya Janta Party
2,Ajay Kumar,364277,3577,34.7%,Jharkhand Vikas Morcha (Prajatantrik)
3,Niroop Mahanty,138109,259,13.2%,Jharkhand Mukti Morcha
4,Angad Mahato,12632,98,1.2%,Amra Bangalee
5,Kumar Chandra Mardi,7145,90,0.7%,Aam Aadmi Party
6,Om Prakash Anand,5655,90,0.5%,Independent
7,Mobin Khan,5406,90,0.5%,Independent
8,Josai Mardi,5378,90,0.5%,Rashtriya Deshaj Party
9,Dinesh Mahato,5300,90,0.5%,Independent
10,Sekh Akhiruddin,4822,90,0.5%,Jharkhand Party (NOREN)
11,Daman Chandra Bhakat,4606,90,0.4%,Bahujan Samaj Party
12,Hari Orawn,4485,90,0.4%,Independent
13,Upendra Karmakar,4429,90,0.4%,Independent
14,Sita Ram Tudu,3700,90,0.4%,Socialist Unity Centre Of India (COMMUNIST)
15,D.G.Raja,3414,90,0.3%,Samajwadi Party
