Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Santosh Ahlawat,488182,600,48.5%,Bharatiya Janta Party
2,Raj Bala Ola,254347,600,25.3%,Indian National Congress
3,Dr. Rajkumar Sharma,206288,400,20.5%,Independent
4,Rajbala,11740,200,1.2%,Independent
5,Rahisa Bano,10423,200,1.0%,Bahujan Samaj Party
6,General R S Kadyan,10386,200,1.0%,Aam Aadmi Party
7,Urmila,5581,200,0.6%,Megh Desham Party
8,Bhudar Mal,2979,200,0.3%,All India Trinamool Congress
9,Mahabeer Prasad Kumawat,2932,200,0.3%,Independent
10,Om Prakash Jharoda,2506,200,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Bhan Singh,1885,200,0.2%,Bharatiya Sant Mat Party
12,Praveen Kumar,1178,200,0.1%,Independent
