Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Nandkumar Singh Chouhan (NANDU BHAIYA),717357,753,57.1%,Bharatiya Janta Party
2,Arun Subhash Chandra Yadav,457643,753,36.4%,Indian National Congress
3,Alok Agarwal,16799,64,1.3%,Aam Aadmi Party
4,Sanjay S/o Laxman Solanki,13691,64,1.1%,Bahujan Samaj Party
5,Baba Abdul Hamid,12036,64,1.0%,Independent
6,Nandlal Singh Chouhan,6226,64,0.5%,Independent
7,Nandlal Singh Chouhan (NANDU BHAIYA),5307,64,0.4%,Independent
8,Kashinath Upadhyay,2429,64,0.2%,Independent
9,Sharif Rajgeer,2255,64,0.2%,Akhil Bhartiya Vikas Congress Party
10,Vinod Kumar Bhagwan Birade,1783,64,0.1%,Republican Party Of India (A)
11,Dr. Rameshsingh - Solanki,1235,64,0.1%,Prajatantrik Samadhan Party
12,Bhaiyalal Uikey,1208,64,0.1%,Gondvana Gantantra Party
13,Ishamuddin (LEDAR) SAYYADH,1134,64,0.1%,Samata Party
14,Ziauddin Inamdar,1075,64,0.1%,Bahujan Mukti Party
