Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sarbananda Sonowal,612543,448,55.1%,Bharatiya Janta Party
2,Ranee Narah,320405,448,28.8%,Indian National Congress
3,Hari Prasad Dihingia,81753,105,7.4%,Asom Gana Parisad
4,Mamun Imdadul Haque Chawdhury,37343,81,3.4%,All India United Democratic Front
5,Dhebor Gohain Boruah,9095,67,0.8%,All India Trinamool Congress
6,Hem Kanta Miri,6896,67,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,Ranjit Singh Gorh,6335,67,0.6%,Independent
8,Hrishikesh Baruah,6013,67,0.5%,Independent
9,David Horo,5903,67,0.5%,Independent
10,Tanish Orang,4721,67,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Khairul Islam,4119,67,0.4%,Independent
12,Dr. Hiramoni Deka Sonowal,2893,67,0.3%,Aam Aadmi Party
13,Keshab Gogoi,2752,67,0.2%,Independent
