Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Angadi Suresh Channabasappa,554417,7000,51.4%,Bharatiya Janta Party
2,Laxmi R. Hebbalkar,478557,7000,44.4%,Indian National Congress
3,Angadi Muttappa Channasangappa,8524,200,0.8%,Aam Aadmi Party
4,Bagwan Nasir Papulsab,5477,200,0.5%,Janata Dal (Secular)
5,Ramesh G Kadalaskar,3535,200,0.3%,Bahujan Samaj Party
6,Ramappa (RAMCHANDRA) MAREPPA CHALAWADI,3504,200,0.3%,Independent
7,Santosh M. Shet @ Raikar,3245,200,0.3%,Independent
8,S. P. Rathod,1753,200,0.2%,Independent
9,Santosh Manohar Bavadekar,1656,200,0.2%,Independent
10,Mohan Yallappa More,1457,200,0.1%,Independent
11,Dayanand Guruputrayya Chikkamath,1261,200,0.1%,Samajwadi Party
12,Majukar Hanmant Krishana,1187,200,0.1%,Independent
13,Khanagoudar S B,920,200,0.1%,Independent
14,Dr. Gaonkar Rajmahendra Sakharam,781,200,0.1%,Independent
15,Antakkanavar Parappa Shankareppa,773,200,0.1%,Independent
