Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Maganti Venkateswara Rao (BABU),623471,5000,51.9%,Telugu Desam
2,Thota Chandra Sekhar,521545,5000,43.4%,Yuvajana Sramika Rythu Congress Party
3,Musunuri Nageswara Rao,11770,200,1.0%,Indian National Congress
4,Netala Ramesh Babu,11670,200,1.0%,Bahujan Samaj Party
5,Govada Vijaya Kumari,4483,200,0.4%,Prem Janata Dal
6,U Venkateswararao (U.V),3971,200,0.3%,Independent
7,Mendem Santosh Kumar ( PEDABABULU),3423,200,0.3%,Indian Labour Party (Ambedkar Phule)
8,K.V.V.Satyanarayana,2873,200,0.2%,Jai Samaikyandhra Party
9,C.V.Sarada Devi,2720,200,0.2%,Independent
10,Savanapudi Nagaraju,2318,200,0.2%,Marxist Communist Party Of India (United)
11,U .V. Rama Rao,1323,200,0.1%,Pyramid Party Of India
12,K.Vijaya Lakshmi Pandit,1320,200,0.1%,Independent
13,Gangadhara Rao Nannapaneni,1302,200,0.1%,Independent
14,Ashok Yantrapati,1212,200,0.1%,Mahajana Socialist Party
15,Juluri Bhaskara Veera Venkata Anil Kumar Gupta,751,200,0.1%,Independent
