Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr.Mahesh Sharma,599702,600,50.0%,Bharatiya Janta Party
2,Narendra Bhati,319490,600,26.6%,Samajwadi Party
3,Satish Kumar,198237,400,16.5%,Bahujan Samaj Party
4,Kishan Pal Singh,32358,200,2.7%,Aam Aadmi Party
5,Ramesh Chand Tomar,12696,200,1.1%,Indian National Congress
6,Mohd. Sabir Ansari,4506,200,0.4%,All India Trinamool Congress
7,Kadeem,4198,200,0.4%,Independent
8,Dharmender,4130,200,0.3%,Dharam Nirpeksh Dal
9,Grisa Kumar,3496,200,0.3%,Independent
10,Kadir Khan Jaiswal,2684,200,0.2%,Independent
11,Sonia Sharma,2530,200,0.2%,Akhil Bharatiya Samajwadi Congress
12,Udayveer,1526,200,0.1%,Rashtriya Janta Party
13,Rakesh,1225,200,0.1%,Independent
14,Lt Col Sp Singh,1183,200,0.1%,Nav Bharat Democratic Party
15,Savitri,996,200,0.1%,Independent
16,Sumiti,978,200,0.1%,Independent
17,Seema,977,200,0.1%,Rashtriya Naujawan Dal
18,Mahesh,794,200,0.1%,Independent
19,Ruvez Alam Rahi,773,200,0.1%,National Loktantrik Party
20,Ram Vilas,656,200,0.1%,Bahujan Mukti Party
21,Gajendra,649,200,0.1%,Indian Oceanic Party
22,Sunil Gautam,623,200,0.1%,Independent
23,Ravinder Sharma,503,200,0.0%,Rashtriya Kranti Party
24,Safruddin,491,200,0.0%,Independent
