Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Krupal Balaji Tumane,519892,1187,49.5%,Shiv Sena
2,Mukul Wasnik,344101,1187,32.8%,Indian National Congress
3,Kiran Prem Kumar Rodge (PATANKAR),95051,151,9.0%,Bahujan Samaj Party
4,Pratap Goswami,25889,97,2.5%,Aam Aadmi Party
5,Goutam Shriram Wasnik,6353,81,0.6%,Independent
6,Tumane Gopal Ajabrao,6304,81,0.6%,Independent
7,Ganesh Bapurao Patil,6222,81,0.6%,Gondvana Gantantra Party
8,Prof. Dr. Natthu Madhao Lokhande,4756,81,0.5%,Independent
9,Dongre Ashok Namaji,3999,81,0.4%,Independent
10,Dhimati Vidya Kishor Bhimte,3634,81,0.3%,Ambedkarite Party Of India
11,Gurudas Uddhav Bawane,3419,81,0.3%,Independent
12,Khobragade Chandrabhan Jairam,2925,81,0.3%,Independent
13,Naresh Mahadeo Patil,2841,81,0.3%,Bahujan Mukti Party
14,Chaware Maya Namdeo,2682,81,0.3%,Samajwadi Party
15,Dr. Sandeep Natthuji Nandeshwar,2640,81,0.3%,Bharipa Bahujan Mahasangh
16,Nilesh Mahadeo Dhoke,2537,81,0.2%,Independent
17,Sandesh Bhivram Bhalekar,2424,81,0.2%,All India Forward Bloc
18,Dr. Sunilbhau Vishwanathji Narnavre,2310,81,0.2%,Republican Party Of India (KHOBRAGADE)
19,Lokhande Ganesh Haibatrao,1735,81,0.2%,Independent
20,Com. Bandu Ramchandra Meshram,1602,81,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
21,Rahulkant Alias Ramesh Sinha,1542,81,0.1%,Independent
22,Pankaj Sewakram Masurkar,1453,81,0.1%,Hindustan Janata Party
23,Rahul Sheshraoji Meshram,1189,81,0.1%,Independent
