Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Prof. Chintamani Malviya,641101,400,63.1%,Bharatiya Janta Party
2,Premchand Guddu,331438,400,32.6%,Indian National Congress
3,Ramprasad Jatwa,9969,200,1.0%,Bahujan Samaj Party
4,Aneeta Hindoliya,5917,200,0.6%,Aam Aadmi Party
5,Anil Pale,4439,200,0.4%,Bahujan Sangharshh Dal
6,Surendra Mehar,3636,200,0.4%,Independent
7,Lalchand Gomay Berwa,2015,200,0.2%,Independent
8,Ashok,1669,200,0.2%,Independent
9,Radheshayam Panavar,1257,200,0.1%,All India Forward Bloc
10,Nandlal Chauhan,927,200,0.1%,Bahujan Mukti Party
11,Bhawarlal Tufan,902,200,0.1%,Jai Maha Bharath Party
12,Er. Brajmohan Malviya,848,200,0.1%,Prajatantrik Samadhan Party
