Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kalyan Banerjee,514933,2200,39.9%,All India Trinamool Congress
2,Tirthankar Ray,362407,2200,28.1%,Communist Party Of India (MARXIST)
3,Bappi Lahiri,287712,1000,22.3%,Bharatiya Janta Party
4,Abdul Mannan,86099,200,6.7%,Indian National Congress
5,Dr. Somnath Ghosh,6613,200,0.5%,Independent
6,Raju Dey Sarkar,4277,200,0.3%,Independent
7,Nasiruddin Mir,4240,200,0.3%,Indian Unity Centre
8,Manasa Sen,3406,200,0.3%,Welfare Party Of India
9,Md. Shanawaz,2698,200,0.2%,Socialist Unity Centre Of India (COMMUNIST)
10,Kailash Naskar,2674,200,0.2%,Independent
