Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Hema Malini,574633,400,53.4%,Bharatiya Janta Party
2,Jayant Chaudhary,243890,400,22.6%,Rashtriya Lok Dal
3,Pt. Yogesh Kumar Dwivedi,173572,400,16.1%,Bahujan Samaj Party
4,Chandan Singh,36673,200,3.4%,Samajwadi Party
5,Hema Malini,10158,200,0.9%,Independent
6,Anuj Kumar Garg,7858,200,0.7%,Aam Aadmi Party
7,Radhacharan,4795,200,0.4%,Independent
8,Om Prakash,2847,200,0.3%,Independent
9,Bhudev,2715,200,0.3%,Independent
10,Satish Chandra Sharma,2675,200,0.2%,Independent
11,Mahesh Pratap Sharma,2396,200,0.2%,Rashtriya Vikas Party
12,Fakkar Baba 'ramayani',2160,200,0.2%,Independent
13,Ram Babu Saini,2082,200,0.2%,Independent
14,Thakur Hemendra Veer Singh,1858,200,0.2%,Sarva Samaj Kalyan Party
15,Pramod Krishna,1759,200,0.2%,Independent
16,Parsottam,1338,200,0.1%,Rashtriya Mahan Gantantra Party
17,Pt. Udyan Sharma 'munna',1066,200,0.1%,Peace Party
18,Bhupendra Kumar Dhangar,1054,200,0.1%,Rashtriya Shoshit Samaj Party
19,Mohan Shyam,731,200,0.1%,Gareeb Aadmi Party
20,Maharam Singh,655,200,0.1%,Bahujan Mukti Party
