Position,Candidate Name,Votes,MinSample,Votes %,Party
1,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),405690,600,59.5%,Bharatiya Janta Party
2,(DR) HARAK SINGH RAWAT,221164,600,32.4%,Indian National Congress
3,Dheer Singh Bisht,9250,200,1.4%,Bahujan Samaj Party
4,Indresh Maikhuri,7470,200,1.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
5,(DR) RAKESH SINGH,6727,200,1.0%,Aam Aadmi Party
6,Bhupal Singh Gusain (UKD),6699,200,1.0%,Independent
7,Narendra Singh Negi,6525,200,1.0%,Communist Party Of India
8,Abdul Salam,4510,200,0.7%,Independent
9,Renu Agarwal,3051,200,0.4%,Independent
10,Anup Negi,2279,200,0.3%,Independent
