Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Jadhav Sanjay (BANDU) HARIBHAU,578455,2800,49.8%,Shiv Sena
2,Bhambale Vijay Manikrao,451300,2800,38.8%,Nationalist Congress Party
3,Gulmir Khan,33716,200,2.9%,Bahujan Samaj Party
4,Comrade Rajan Kshirsagar,12404,200,1.1%,Communist Party Of India
5,Nisar Subhan Khan Pathan,12341,200,1.1%,Independent
6,Md. Iliyas Md. Amir Maniyar,8006,200,0.7%,Bharipa Bahujan Mahasangh
7,Comred Bhise Ganpat Devrao,7251,200,0.6%,Independent
8,Udhav Rangrao Pawar (PATIL),6154,200,0.5%,Independent
9,Baban (ANNA) MULEY,5836,200,0.5%,Bahujan Mukti Party
10,Adv. Ajay Sitaram Karande Patil,5507,200,0.5%,Samajwadi Party
11,Kajale Pradip Mahadev,4781,200,0.4%,Independent
12,Salma Shriniwas Kulkarni,4449,200,0.4%,Aam Aadmi Party
13,Pramod Maroti Panditkar,4103,200,0.4%,Independent
14,Ramrao Dhansing Rathod Sir Nirankari,3120,200,0.3%,Independent
15,Sk. Saleem,2947,200,0.3%,Majlis Bachao Tahreek
16,Sayed Abdul Rahim,2492,200,0.2%,Welfare Party Of India
17,Ashok Babarao (AMBHORE) DUDHGAONKAR,1869,200,0.2%,Ambedkar National Congress
