Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sukhbir Singh Jaunapuria,548179,2200,52.6%,Bharatiya Janta Party
2,Mohammed Azharuddin,412868,2200,39.6%,Indian National Congress
3,Jagmohan Meena,14600,200,1.4%,National People's Party
4,Makkhan,10515,200,1.0%,Independent
5,Suresh,10392,200,1.0%,Bahujan Samaj Party
6,Babulal Jangid,7195,200,0.7%,Independent
7,Chandan Lal Meena,6522,200,0.6%,Independent
8,Ram Parkash,6177,200,0.6%,Independent
9,Govind Prasad,3125,200,0.3%,Independent
10,Mukesh,2665,200,0.3%,Aam Aadmi Party
11,Varis Ali,2361,200,0.2%,Awami Aamjan Party
12,Dinesh Saini,2205,200,0.2%,Jai Maha Bharath Party
13,Dinesh,2147,200,0.2%,All India Trinamool Congress
14,Kori Lal,1924,200,0.2%,Independent
15,Kamal Kumar Dhobi,1723,200,0.2%,Independent
16,Sampatti Bai Alias Sunita Verma,1611,200,0.2%,Independent
17,Siya Ram,1104,200,0.1%,Independent
18,Hari Ram,1045,200,0.1%,Independent
19,Ram Hans,867,200,0.1%,Naya Daur Party
20,Ramesh Chand,751,200,0.1%,Lok Dal
21,Bhar Singh,701,200,0.1%,Socialist Party (India)
22,Bajarang Lal,699,200,0.1%,Rashtriya Ahinsa Manch
