Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kamaraj. K,533383,773,48.2%,All India Anna Dravida Munnetra Kazhagam
2,Manimaran. R,309876,773,28.0%,Dravida Munetra Kazhagam
3,Eswaran. V. P,164183,245,14.8%,Desiya Murpokku Dravida Kazhagam
4,Devadass. R,39677,105,3.6%,Indian National Congress
5,Madaiyan. S,7314,83,0.7%,Independent
6,Mannan. M. P,6186,83,0.6%,Independent
7,Sakthivel.S,5929,83,0.5%,Bahujan Samaj Party
8,Varadan. M,5054,83,0.5%,Independent
9,Perumal. A. K.,3512,83,0.3%,Jharkhand Mukti Morcha (Ulgulan)
10,Lakshmanan. S,3261,83,0.3%,Independent
11,Mohammed Yasin. K,2910,83,0.3%,Aam Aadmi Party
12,Bojan. G,2255,83,0.2%,Independent
13,Vetrivel. K,2029,83,0.2%,Independent
14,Narayansamy. P,1684,83,0.2%,Independent
15,Shajahan. A,1499,83,0.1%,Independent
16,Kamaraj. R,1334,83,0.1%,Independent
17,Pandian. R,1221,83,0.1%,Independent
18,Vennila. K,1097,83,0.1%,Independent
19,Govindasamy.A,1015,83,0.1%,Independent
20,Ramachandiran. T,1013,83,0.1%,Independent
21,Sekar. K,962,83,0.1%,Independent
22,Velliyan. K,946,83,0.1%,Independent
