Position,Candidate Name,Votes,MinSample,Votes %,Party
1,C.S.Puttaraju,524370,728065,44.0%,Janata Dal (Secular)
2,Ramya,518852,728065,43.5%,Indian National Congress
3,Prof. B.Shivalingaiah,86993,168,7.3%,Bharatiya Janta Party
4,M.Krishnamurthy,22391,100,1.9%,Bahujan Samaj Party
5,H.K.Krishna,8604,91,0.7%,Karunaadu Party
6,Bhanuprakash.K.L,4354,91,0.4%,Independent
7,Dr. C.S.Hanumanthappa,4098,91,0.3%,Aam Aadmi Party
8,N.C.Puttaraju,4021,91,0.3%,Independent
9,K.Udayakumara,3070,91,0.3%,Independent
10,Ashraf,2163,91,0.2%,Independent
11,Krishnamurthy Kommerahalli,1643,91,0.1%,Republican Party Of India (A)
12,K.Mahadevappa,1423,91,0.1%,Bharatiya Dr. B.R.Ambedkar Janta Party
13,Arunakumara,1179,91,0.1%,Independent
14,Aravind Premanand,1172,91,0.1%,Independent
15,K.Shivananda,1165,91,0.1%,Hindustan Janata Party
16,Jayachandra,1119,91,0.1%,Bahujan Mukti Party
