Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ajay Kumar,398578,2800,37.0%,Bharatiya Janta Party
2,Arvind Giri,288304,2800,26.7%,Bahujan Samaj Party
3,Zafar Ali Naqvi,183940,800,17.1%,Indian National Congress
4,Ravi Prakash Verma,160112,600,14.9%,Samajwadi Party
5,Vipnesh,16401,200,1.5%,Communist Party Of India
6,Rameshwari,3514,200,0.3%,Independent
7,Krishna Adhikari,3230,200,0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Ashok,3165,200,0.3%,Aam Aadmi Party
9,Ashraf Ali,3124,200,0.3%,Peace Party
10,Dinesh Kumar,2861,200,0.3%,Bahujan Mukti Party
11,Ramgopal Mishra,2608,200,0.2%,Independent
