Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Gaddigoudar Parvtagouda Chandanagouda,571548,2881,53.0%,Bharatiya Janta Party
2,Ajay Kumar Sarnaik,454988,2881,42.2%,Indian National Congress
3,Shankar Bidari,10959,72,1.0%,Independent
4,Y.C Kamble,7370,72,0.7%,Bahujan Samaj Party
5,Hunashyal Ravi,7237,72,0.7%,Janata Dal (Secular)
6,Vasanagouda Ninganagouda Bhandi,4325,72,0.4%,Independent
7,Parashuram Manasing Rathod,3897,72,0.4%,Independent
8,Muttappa Mudakappa Hirekumbi,2037,72,0.2%,Independent
9,Kazi Kutubuddin,2004,72,0.2%,Aam Aadmi Party
10,Nagappa Pakkirappa Shiraguppi,1194,72,0.1%,Independent
11,Kanabur Sadashiv Sidamallappa,1180,72,0.1%,Janata Dal (United)
12,Ajjodi Bheemappa Dhoolappa,994,72,0.1%,Independent
13,Mahesh Basappa Nandihal,813,72,0.1%,Karunaadu Party
