Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rajesh Pandey Urf Guddu,370051,4000,38.9%,Bharatiya Janta Party
2,Kunwar Ratanjit Pratap Narain Singh,284511,4000,29.9%,Indian National Congress
3,Dr. Sangam Mishra,132881,400,14.0%,Bahujan Samaj Party
4,Radhe Shyam Singh,111256,400,11.7%,Samajwadi Party
5,Kasheem Ali,9024,200,0.9%,Peace Party
6,Ramdhanee,5485,200,0.6%,Deshbhakt Nirman Party
7,Rampratap,4805,200,0.5%,Janata Dal (United)
8,Markande,4270,200,0.4%,Bahujan Mukti Party
9,Ameeruddin,3843,200,0.4%,Apna Dal United Party
10,Akhand,3802,200,0.4%,Aam Aadmi Party
11,Arvind,3630,200,0.4%,Swaraj (J)
12,Jahid,2677,200,0.3%,Suheldev Bhartiya Samaj Party
13,Bachchoolaal,2145,200,0.2%,Most Backward Classes Of India
14,Gobardhan Prasad,1963,200,0.2%,Socialist Party (India)
